objectid,date,dead,serious.injuries,light.injuries,day.of.the.week,day/night,type.of.the.accident,cause.of.the.accident,alcohol.or.drugs,weather.conditions,place,vehicle.type,vehicle.characteristic,skid,total.damage.in.czk,x,y,lat,lng
1273,2020/07/13 00:00,0,0,0,Thu,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1854687.9968017247,6307367.399125491,49.19120513000007,16.660945748000074
1274,2020/07/13 00:00,0,0,0,Thu,Night,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,90000,1839114.9948197834,6310243.997588213,49.20809024200002,16.521051091000057
1275,2020/07/13 00:00,0,0,0,Thu,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Truck,Private company,No,0,1846139.4431527331,6309884.376903228,49.20597964900002,16.584152784000025
1276,2020/07/13 00:00,0,0,0,Thu,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Other motor vehicle,Private company,No,1000,1855834.3866252105,6308095.261823014,49.19547809700003,16.671243943000036
1277,2020/07/13 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1854627.2765835938,6310538.461060444,49.20981836400006,16.66040028900005
1278,2020/07/13 00:00,0,0,0,Thu,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,10000,1844805.4399122428,6317327.20210268,49.24964279800007,16.57216922900005
1279,2020/07/12 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,"Private, not used for business activity",No,50000,1840155.6194384736,6303739.76288747,49.16990334300004,16.530399181000064
1280,2020/07/12 00:00,0,0,0,Wed,Night,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,110000,1840170.1783580782,6303735.640367833,49.16987913000001,16.530529966000074
1281,2020/07/12 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1855835.5249783262,6302621.41440396,49.16333445700007,16.67125416900006
1282,2020/07/12 00:00,0,0,1,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,20000,1838970.0110904619,6312037.311186887,49.21861375100008,16.519748680000077
1283,2020/07/12 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Truck,Private company,No,50000,1844784.0199271408,6306756.250370637,49.18761705500002,16.571976810000024
1284,2020/07/12 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Truck,Private company,No,300000,1851663.362747249,6304817.52607189,49.17623301700007,16.633774998000035
1285,2020/07/12 00:00,0,0,1,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, not used for business activity",No,20000,1846275.3681471753,6303805.230056677,49.17028785300004,16.58537381900004
1286,2020/07/12 00:00,0,0,1,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,10000,1850069.8977074074,6306712.9659780115,49.18736292100003,16.619460658000033
1287,2020/07/12 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Truck,Private company,No,20000,1849997.2729829347,6311675.935802811,49.21649331100007,16.618808259000048
1288,2020/07/12 00:00,0,0,0,Wed,Night,Other collisions,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Truck,Private company,No,0,1852144.0644648226,6302426.27636741,49.16218817800007,16.638093215000023
1289,2020/07/11 00:00,0,0,1,Tue,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Rain,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,20000,1840095.455817795,6315354.771198474,49.23807533900003,16.529858722000025
1290,2020/07/11 00:00,0,0,0,Tue,Day,Crash,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,5000,1851138.8716155386,6312224.86305099,49.219714212000035,16.62906341400003
1291,2020/07/11 00:00,0,0,0,Tue,Day,Collision with a fixed obstacle,Road defect,Not tested,Clear,None or none of listed,Truck,Private company,No,1000,1848893.4187821571,6308216.466436387,49.19618960100007,16.608892168000068
1292,2020/07/11 00:00,0,0,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,20000,1851336.2785873872,6307095.657864685,49.189609760000046,16.63083675100006
1293,2020/07/11 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,"Bus stop, trolleybus, tramway without boarding. islet","Not identified, the driver has fled",Not identified,No,0,1846911.2101617765,6312714.70326,49.222588235000046,16.591085685000056
1294,2020/07/10 00:00,0,0,0,Mon,Night,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,"Exit from the car park, forest roads, etc.",Passenger car without a trailer,"Private, not used for business activity",No,10000,1835951.7820255316,6311122.058470746,49.21324315200006,16.49263546700007
1295,2020/07/10 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1845021.264805161,6304293.967539448,49.17315827300006,16.574108017000068
1296,2020/07/10 00:00,0,0,0,Mon,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Truck,Private company,No,0,1848410.3692252021,6307188.939431114,49.190157414000055,16.60455286000007
1297,2020/07/10 00:00,0,1,0,Mon,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,10000,1849728.4310693343,6308268.3592872685,49.196494223000045,16.616393211000055
1298,2020/07/10 00:00,0,0,0,Mon,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1851488.566545095,6307194.960439849,49.19019276300002,16.632204777000023
1299,2020/07/10 00:00,0,0,0,Mon,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,1000,1855221.9260451389,6300150.778724126,49.14881950100004,16.665742116000047
1300,2020/07/10 00:00,0,0,0,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,50000,1848390.953992813,6309011.589406784,49.20085693500005,16.60437845000007
1301,2020/07/10 00:00,0,0,0,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,Pedestrian crossing,Truck,Private company,No,0,1857057.9780740375,6304211.967921988,49.17267669000006,16.682235652000028
1302,2020/07/10 00:00,0,0,1,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1851852.7203180357,6311087.228813338,49.213038764000025,16.63547602600005
1303,2020/07/10 00:00,0,0,0,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1844741.8475399308,6310338.87687056,49.208647068000055,16.571597969000038
1304,2020/07/10 00:00,0,0,0,Mon,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Rain,Gas station,Passenger car without a trailer,"Private, not used for business activity",Yes,30000,1847910.3332045071,6301295.748499738,49.15554671400009,16.600060960000064
1305,2020/07/09 00:00,0,0,1,Sun,Day,Crash,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,2000,1855516.4117392795,6309863.080020268,49.20585465600004,16.668387526000057
1306,2020/07/09 00:00,0,0,0,Sun,Night,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1846504.0346339145,6304292.210845206,49.17314795600003,16.587427965000074
1307,2020/07/08 00:00,0,0,0,Sat,Night,Crash,The driver of the motor vehicle,Not tested,"At the beginning of the rain, light rain, drizzle, etc.",None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,50000,1843466.3490370638,6310239.410293518,49.208063320000065,16.56013997100007
1308,2020/07/08 00:00,0,0,1,Sat,Day,Collision with pedestrian,Pedestrian,No,Clear,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, not used for business activity",No,10000,1850085.4375743621,6308547.438027216,49.19813244200002,16.619600255000023
1309,2020/07/08 00:00,0,0,0,Sat,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,0,1848466.6126186848,6307964.695539042,49.19471162600007,16.605058103000033
1310,2020/07/08 00:00,0,0,0,Sat,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,10000,1840452.5154222278,6304425.473922847,49.173930599000066,16.533066243000064
1311,2020/07/08 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850387.2964036597,6313654.828497675,49.22810373200008,16.622311899000067
1312,2020/07/08 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1838715.2754714133,6314082.797997231,49.23061432600007,16.517460351000068
1313,2020/07/08 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1852041.843338655,6307778.540245058,49.193618807000064,16.63717494700006
1314,2020/07/07 00:00,0,0,0,Fri,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Rain,None or none of listed,Passenger car without a trailer,Private company,Yes,700000,1852463.4306217544,6302178.904479191,49.16073502900007,16.640962130000048
1315,2020/07/07 00:00,0,0,1,Fri,Night,Crash,The driver of the motor vehicle,No,Clear,None or none of listed,Motorbike,"Private, not used for business activity",No,50000,1847839.8262220253,6312503.485733415,49.22134898600005,16.599427585000058
1316,2020/07/07 00:00,0,0,0,Fri,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,4000,1850603.667429995,6306861.1852962775,49.18823315000002,16.624255593000044
1317,2020/07/07 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847136.262104642,6311747.6198070245,49.216913938000054,16.593107361000023
1318,2020/07/07 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847644.6250458905,6301581.394415486,49.15722487000004,16.597674063000056
1319,2020/07/07 00:00,0,1,0,Fri,Night,Collision with pedestrian,Pedestrian,No,Rain,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,40000,1852965.4936590593,6308749.561276331,49.19931889100007,16.64547223900007
1320,2020/07/07 00:00,0,0,0,Fri,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Rain,None or none of listed,Passenger car without a trailer,Private company,Yes,150000,1842857.4441128452,6304350.579195127,49.17349075000004,16.55467008500006
1321,2020/07/06 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,5000,1842766.0214225554,6312800.079322758,49.223089142000035,16.553848821000027
1322,2020/07/06 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1844433.9597583376,6304711.868376881,49.17561252800004,16.56883216600005
1323,2020/07/05 00:00,0,0,1,Wed,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,1000,1847508.9272545304,6304691.492664727,49.17549286800004,16.596455069000058
1324,2020/07/05 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,90000,1853320.3879880686,6307272.699613402,49.190649163000046,16.648660309000036
